,0
486189.txt,"['doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
117.txt,['doc 120.txt is 95.61525549070437 similar']
14692.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
486366.txt,"['doc 486334.txt is 97.43193316892594 similar', 'doc 486384.txt is 98.31825871515976 similar', 'doc 486409.txt is 97.99263268571467 similar']"
487079.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
14874.txt,"['doc 14855.txt is 98.50444812719395 similar', 'doc 14882.txt is 99.99999999999926 similar']"
487535.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
14690.txt,['doc 14688.txt is 98.6269200167648 similar']
487618.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487032.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
487032.txt,"['doc 486189.txt is 99.99999999999957 similar', 'doc 14692.txt is 99.99999999999957 similar', 'doc 487079.txt is 99.99999999999957 similar', 'doc 487535.txt is 99.99999999999957 similar', 'doc 487618.txt is 99.99999999999957 similar', 'doc 488278.txt is 99.99999999999957 similar', 'doc 13959.txt is 99.99999999999957 similar', 'doc 13938.txt is 99.99999999999957 similar', 'doc 487464.txt is 99.99999999999957 similar', 'doc 686.txt is 99.99999999999957 similar']"
